"techn_field_nr";"sector";"field_name";"RCA_US";"RCA_CN";"RCA_KR";"RCA_JP";"RCA_AI"
1;"Electrical engineering";"Electrical machinery, apparatus, energy";0,806130295464133;0,781285306548244;0,885910356664018;1,1268685164478;0,0593492634039308
2;"Electrical engineering";"Audio-visual technology";0,52903509458199;0,281205160490934;1,58173657700963;1,34188556343943;0,0853537728458771
3;"Electrical engineering";"Telecommunications";0,657727334104245;0,346891200617381;1,40047520647904;1,23098888970641;0,336064398912961
4;"Electrical engineering";"Digital communication";0,735668946649889;0,206978925416903;1,30434472270759;1,2444394102031;1,09784934911933
5;"Electrical engineering";"Basic communication processes";0,874012134211958;0,379387109049058;1,07857025021714;1,19150764942163;1,64528253859531
6;"Electrical engineering";"Computer technology";0,600834418175826;0,534936673226541;0,946693574054904;1,37177058622865;16,6484957668701
7;"Electrical engineering";"IT methods for management";0,591447141285045;0;0;1,41556761493347;51,8393474436571
8;"Electrical engineering";"Semiconductors";0,458281392612495;0,23934842224045;1,01723889338574;1,43702002205115;0,705305357337621
9;"Instruments";"Optics";0,658200651073669;0,421741379009969;0,365702080315072;1,31105156528612;0,194943267799368
10;"Instruments";"Measurement";1,03172318778157;1,23064267920445;0,465779861196229;1,01097595019287;1,26960594640816
11;"Instruments";"Analysis of biological materials";2,04018346299796;0,948308673876606;0,459313972910391;0,706791367037978;0,745232184019035
12;"Instruments";"Control";0,886739264231116;0,742406953888999;0,921222701727413;1,06445474270341;3,7671862685855
13;"Instruments";"Medical technology";2,15151075244588;1,35423710909319;0,360555429112592;0,610406051187463;0,456073895277459
14;"Chemistry";"Organic fine chemistry";1,84624177792577;0,932742652310564;3,24099140454214;0,61772331903852;0
15;"Chemistry";"Biotechnology";1,56235589796273;1,46076640806079;2,75059146529205;0,825908220458971;0
16;"Chemistry";"Pharmaceuticals";1,77882987459276;1,23058926243727;1,22818863558298;0,655342680902183;0
17;"Chemistry";"Macromolecular chemistry, polymers";1,46564065827323;0,998120970246342;1,49489688824758;0,925665509500542;0
18;"Chemistry";"Food chemistry";0,865091906748876;3,50975079299655;3,80434687233011;0,996317260922864;0
19;"Chemistry";"Basic materials chemistry ";1,4868861035302;2,40223530225134;1,57474755609958;0,796429717803844;0
20;"Chemistry";"Materials, metallurgy";0,713782396722563;2,87423436919224;1,34028395458497;1,0856600761482;0,128898645338445
21;"Chemistry";"Surface technology, coating";0,83763355537025;1,42468145497859;0,917947509205567;1,14680572920458;0
22;"Chemistry";"Micro-structural and nano-technology";1,75845458877497;0;0;1,02975247246127;0
23;"Chemistry";"Chemical engineering";1,29588110635548;1,48205455478282;0,80862741972777;0,804590845898766;0,0794051572424604
24;"Chemistry";"Environmental technology";0,959762232332329;1,2749677242726;0,616605679277456;0,955959852150159;0,310921313663299
25;"Mechanical engineering";"Handling";1,11181959493136;0,4521896863959;0,439623874845902;0,818917557132114;0,118443776463459
26;"Mechanical engineering";"Machine tools";0,875881768344168;1,01420757748794;0,733584788705539;0,960579782983429;0,154362103971338
27;"Mechanical engineering";"Engines, pumps, turbines";0,832486297644725;1,09458145438984;0,498408436294469;1,05567048494352;0,301917143975992
28;"Mechanical engineering";"Textile and paper machines";0,688224833555297;0,739542685598139;2,01043947822894;1,10028624776967;0
29;"Mechanical engineering";"Other special machines";1,21608212113116;1,04410300074879;0,77501192754145;0,823472836162185;0,156885650256938
30;"Mechanical engineering";"Thermal processes and apparatus";0,773289108736762;0,894625447243346;0,598306782464236;1,02267590190098;0,247149564154231
31;"Mechanical engineering";"Mechanical elements";1,19846695805915;0,950668458490732;0,426074118928856;0,754732319082233;0
32;"Mechanical engineering";"Transport";1,15314598109252;0,920752736170686;0,575782659489411;0,767761768678111;0,240730493497249
33;"Other fields";"Furniture, games";1,80046402299918;1,11783709771739;0,549481731916672;0,570668768176939;0
34;"Other fields";"Other consumer goods";1,36624923239041;1,74482958237182;1,67078885555981;0,794354853985361;0
35;"Other fields";"Civil engineering";1,12776298855267;1,01172143802558;0,473651324348105;0,671540714966742;0,106793196926282
