"techn_field_nr";"RCA_1st_period";"RCA_2nd_period";"RCA_3rd_period";"sum"
"1";0,0593492634039308;0,227448279949667;0,245608091425121;0,532405634778719
"10";1,26960594640816;1,66779168749945;1,32799614482195;4,26539377872956
"11";0,745232184019035;1,81430501787999;1,16069628291499;3,72023348481401
"12";3,7671862685855;4,97701909460982;2,86235285267656;11,6065582158719
"13";0,456073895277459;0,83979453481655;0,906534032608844;2,20240246270285
"14";0;0,00684059322604051;0,0233219504849989;0,0301625437110395
"15";0;0,2211726265071;0,152539395644239;0,37371202215134
"16";0;0,025233368802356;0,0190417789169786;0,0442751477193346
"17";0;0,020589833621658;0,00954238178316383;0,0301322154048218
"18";0;0,0206098203846548;0,0214303023823121;0,0420401227669669
"19";0;0,0648486986737361;0,0147337405523986;0,0795824392261347
"2";0,0853537728458771;0,363240694674621;0,370288119230161;0,818882586750659
"20";0,128898645338445;0,334860554195545;0,0821991432314999;0,54595834276549
"21";0;0,0949576074070565;0,045517711743857;0,140475319150913
"22";0;0;0,0883375985129624;0,0883375985129624
"23";0,0794051572424604;0,187817187655226;0,0493548201250614;0,316577165022748
"24";0,310921313663299;0,317426809754643;0,108149636799434;0,736497760217376
"25";0,118443776463459;0,314333860953554;0,220121273352645;0,652898910769657
"26";0,154362103971338;0,391690492206869;0,101413019833441;0,647465616011649
"27";0,301917143975992;0,470458198053726;0,181874543174696;0,954249885204415
"28";0;0,190706691781591;0,0445296962288105;0,235236388010401
"29";0,156885650256938;0,204285396869156;0,0956110971026744;0,456782144228768
"3";0,336064398912961;0,758654891557941;0,316238847047725;1,41095813751863
"30";0,247149564154231;0,787885068231497;0,235619023217201;1,27065365560293
"31";0;0,166649929553359;0,0698353622107885;0,236485291764148
"32";0,240730493497249;0,463681933309643;0,235403110672165;0,939815537479057
"33";0;0,133865600706374;0,0650087968715419;0,198874397577916
"34";0;0,36965989879751;0,0952818795147497;0,46494177831226
"35";0,106793196926282;0,144062112619183;0,0870425541074839;0,337897863652949
"4";1,09784934911933;0,828156359599432;1,14359783856749;3,06960354728626
"5";1,64528253859531;0,703714665017247;0,333301190031572;2,68229839364413
"6";16,6484957668701;8,58789290520755;8,13048772120913;33,3668763932867
"7";51,8393474436571;3,29468337050863;3,60457701622076;58,7386078303865
"8";0,705305357337621;0,160528000100187;0,0507726852179379;0,916606042655746
"9";0,194943267799368;0,292987643758271;0,0495345445067716;0,537465456064411
