"";"Herfindahl";"Herfindahl_RCA";"Entropy";"Entropy_RCA";"Period"
"AD";0,149822485207101;0,125;3,374;3;"2nd"
"AE";0,0596788194444444;0,0714285714285714;4,538;3,807;"2nd"
"AF";1;1;0;0;"2nd"
"AG";0,132231404958678;0,0909090909090909;3,152;3,459;"2nd"
"AI";0,125;0,111111111111111;3,085;3,17;"2nd"
"AL";0,0784;0,0714285714285714;3,783;3,807;"2nd"
"AM";0,0557027584912742;0,0625;4,433;4;"2nd"
"AN";0,0566239316239316;0,0769230769230769;4,424;3,7;"2nd"
"AO";0,185185185185185;0,166666666666667;2,503;2,585;"2nd"
"AP";0,5;0,5;1;1;"2nd"
"AR";0,0518193000206451;0,0588235294117647;4,639;4,087;"2nd"
"AS";1;1;0;0;"2nd"
"AT";0,0367890756493916;0,0526315789473684;4,894;4,248;"2nd"
"AU";0,0405569261372097;0,0666666666666667;4,827;3,907;"2nd"
"AW";0,183673469387755;0,142857142857143;2,611;2,807;"2nd"
"AZ";0,0613959666706919;0,0714285714285714;4,349;3,807;"2nd"
"BA";0,130177514792899;0,1;3,229;3,322;"2nd"
"BB";0,0740740740740741;0,0909090909090909;4,081;3,459;"2nd"
"BD";0,0863683662851197;0,0666666666666667;3,805;3,907;"2nd"
"BE";0,0430373747458824;0,0769230769230769;4,777;3,7;"2nd"
"BF";0,202216066481994;0,142857142857143;2,51;2,807;"2nd"
"BG";0,046246988802351;0,0666666666666667;4,681;3,907;"2nd"
"BH";0,06375;0,0666666666666667;4,144;3,907;"2nd"
"BI";1;1;0;0;"2nd"
"BJ";0,510204081632653;0,5;0,985;1;"2nd"
"BM";0,101134215500945;0,0909090909090909;3,795;3,459;"2nd"
"BN";0,375;0,333333333333333;1,5;1,585;"2nd"
"BO";0,0630117479530082;0,0625;4,2;4;"2nd"
"BR";0,0427622917317327;0,0625;4,743;4;"2nd"
"BS";0,0869676382496895;0,0909090909090909;4,076;3,459;"2nd"
"BT";1;1;0;0;"2nd"
"BU";0,211072664359862;0,142857142857143;2,486;2,807;"2nd"
"BW";0,5;0,5;1;1;"2nd"
"BY";0,0503086580564869;0,0666666666666667;4,581;3,907;"2nd"
"BZ";0,25;0,2;2,156;2,322;"2nd"
"CA";0,0361750089850063;0,0625;4,922;4;"2nd"
"CC";1;1;0;0;"2nd"
"CF";0,5;0,5;1;1;"2nd"
"CG";0,125;0,0909090909090909;3,25;3,459;"2nd"
"CH";0,0373322344907231;0,0526315789473684;4,897;4,248;"2nd"
"CI";0,119065010956903;0,0909090909090909;3,514;3,459;"2nd"
"CK";1;1;0;0;"2nd"
"CL";0,0519318313336677;0,0714285714285714;4,606;3,807;"2nd"
"CM";0,114795918367347;0,0909090909090909;3,41;3,459;"2nd"
"CN";0,0424270402323269;0,0714285714285714;4,796;3,807;"2nd"
"CO";0,0666767168547936;0,0909090909090909;4,353;3,459;"2nd"
"CR";0,0642666666666667;0,0833333333333333;4,384;3,585;"2nd"
"CS";0,051156868565358;0,0588235294117647;4,522;4,087;"2nd"
"CU";0,263269916765755;0,2;2,553;2,322;"2nd"
"CV";0,5;0,5;1;1;"2nd"
"CY";0,0525161588180979;0,0769230769230769;4,618;3,7;"2nd"
"CZ";0,0421007490631162;0,0526315789473684;4,739;4,248;"2nd"
"DD";0,051553455306497;0,0666666666666667;4,484;3,907;"2nd"
"DE";0,0393316454001255;0,0625;4,85;4;"2nd"
"DJ";0,5;0,5;1;1;"2nd"
"DK";0,0452788313823015;0,0666666666666667;4,751;3,907;"2nd"
"DM";0,333333333333333;0,333333333333333;1,585;1,585;"2nd"
"DO";0,100950656405613;0,0769230769230769;3,702;3,7;"2nd"
"DZ";0,0651974288337925;0,0833333333333333;4,348;3,585;"2nd"
"EC";0,186914672216441;0,0909090909090909;3,445;3,459;"2nd"
"EE";0,0614410566515888;0,0625;4,441;4;"2nd"
"EG";0,0482301039879556;0,0714285714285714;4,705;3,807;"2nd"
"EP";0,222222222222222;0,2;2,252;2,322;"2nd"
"ES";0,0398448440172143;0,0588235294117647;4,83;4,087;"2nd"
"ET";0,542143600416233;0,5;0,938;1;"2nd"
"FI";0,047413401899732;0,0666666666666667;4,746;3,907;"2nd"
"FJ";0,190082644628099;0,142857142857143;2,595;2,807;"2nd"
"FO";0,333333333333333;0,25;1,753;2;"2nd"
"FR";0,0374760143355883;0,0588235294117647;4,901;4,087;"2nd"
"GA";0,11;0,0833333333333333;3,522;3,585;"2nd"
"GB";0,0368726910226836;0,0526315789473684;4,904;4,248;"2nd"
"GC";1;1;0;0;"2nd"
"GD";0,256198347107438;0,142857142857143;2,404;2,807;"2nd"
"GE";0,0803116976712761;0,0625;4,212;4;"2nd"
"GF";1;1;0;0;"2nd"
"GH";0,208888888888889;0,142857142857143;2,499;2,807;"2nd"
"GI";0,177777777777778;0,1;3,055;3,322;"2nd"
"GL";0,555555555555556;0,5;0,918;1;"2nd"
"GM";0,28;0,25;1,922;2;"2nd"
"GN";0,173333333333333;0,142857142857143;2,657;2,807;"2nd"
"GP";0,21875;0,166666666666667;2,406;2,585;"2nd"
"GQ";0,5;0,5;1;1;"2nd"
"GR";0,0427303221406241;0,0526315789473684;4,778;4,248;"2nd"
"GT";0,0680507497116494;0,0714285714285714;4,175;3,807;"2nd"
"GU";0,21875;0,2;2,25;2,322;"2nd"
"GY";0,224489795918367;0,2;2,236;2,322;"2nd"
"HK";0,0513064481349326;0,0833333333333333;4,656;3,585;"2nd"
"HN";0,17;0,142857142857143;2,995;2,807;"2nd"
"HR";0,0585706444015904;0,0714285714285714;4,48;3,807;"2nd"
"HT";1;1;0;0;"2nd"
"HU";0,0755584714661495;0,111111111111111;4,329;3,17;"2nd"
"IB";1;1;0;0;"2nd"
"ID";0,0552507114923937;0,0833333333333333;4,563;3,585;"2nd"
"IE";0,0442875517852637;0,0714285714285714;4,781;3,807;"2nd"
"IL";0,0588220650612508;0,0833333333333333;4,533;3,585;"2nd"
"IN";0,0778780936077926;0,1;4,334;3,322;"2nd"
"IO";0,5;0,5;1;1;"2nd"
"IQ";0,245674740484429;0,166666666666667;2,257;2,585;"2nd"
"IR";0,0407231555880205;0,0625;4,81;4;"2nd"
"IS";0,0609218615048519;0,0909090909090909;4,447;3,459;"2nd"
"IT";0,0382936768568796;0,0526315789473684;4,862;4,248;"2nd"
"JA";0,315972222222222;0,25;1,75;2;"2nd"
"JE";0,25;0,25;2;2;"2nd"
"JM";0,0634885275116953;0,0769230769230769;4,148;3,7;"2nd"
"JO";0,140265630061548;0,125;3,68;3;"2nd"
"JP";0,0396516995446194;0,0588235294117647;4,853;4,087;"2nd"
"KE";0,0834120982986768;0,0833333333333333;4,024;3,585;"2nd"
"KG";0,0918478164111877;0,0833333333333333;3,882;3,585;"2nd"
"KH";0,142857142857143;0,142857142857143;2,807;2,807;"2nd"
"KI";0,207100591715976;0,125;2,654;3;"2nd"
"KM";1;1;0;0;"2nd"
"KN";0,155555555555556;0,125;2,84;3;"2nd"
"KP";0,0483347750865052;0,0666666666666667;4,567;3,907;"2nd"
"KR";0,0457481351423169;0,0666666666666667;4,765;3,907;"2nd"
"KW";0,0492431753585829;0,0625;4,556;4;"2nd"
"KY";0,123790692747687;0,0909090909090909;3,712;3,459;"2nd"
"KZ";0,0791317323494157;0,0769230769230769;4,156;3,7;"2nd"
"LA";0,308641975308642;0,25;1,837;2;"2nd"
"LB";0,0431998596552783;0,0666666666666667;4,718;3,907;"2nd"
"LC";0,555555555555556;0,5;0,918;1;"2nd"
"LI";0,0668890342083435;0,0909090909090909;4,349;3,459;"2nd"
"LK";0,0502400548696845;0,0714285714285714;4,55;3,807;"2nd"
"LR";0,12396694214876;0,111111111111111;3,096;3,17;"2nd"
"LS";1;1;0;0;"2nd"
"LT";0,0533403272532416;0,0714285714285714;4,572;3,807;"2nd"
"LU";0,0754838951398033;0,0833333333333333;4,279;3,585;"2nd"
"LV";0,0596583522593782;0,0769230769230769;4,503;3,7;"2nd"
"LY";0,185185185185185;0,166666666666667;2,503;2,585;"2nd"
"MA";0,0532608511575133;0,0625;4,519;4;"2nd"
"MC";0,0750875;0,0714285714285714;4,352;3,807;"2nd"
"MD";0,070149299649715;0,0714285714285714;4,408;3,807;"2nd"
"ME";1;1;0;0;"2nd"
"MG";0,123204837490552;0,125;3,234;3;"2nd"
"MH";0,5;0,5;1;1;"2nd"
"MK";0,10546875;0,0769230769230769;3,504;3,7;"2nd"
"ML";0,102040816326531;0,0909090909090909;3,487;3,459;"2nd"
"MM";1;1;0;0;"2nd"
"MN";0,0617376618502533;0,0769230769230769;4,289;3,7;"2nd"
"MO";0,111326530612245;0,0833333333333333;3,871;3,585;"2nd"
"MP";0,5;0,5;1;1;"2nd"
"MQ";0,5;0,5;1;1;"2nd"
"MR";0,21875;0,166666666666667;2,406;2,585;"2nd"
"MS";0,5;0,5;1;1;"2nd"
"MT";0,0788001543209877;0,0909090909090909;4,074;3,459;"2nd"
"MU";0,135802469135802;0,0909090909090909;3,261;3,459;"2nd"
"MV";0,555555555555556;0,5;0,918;1;"2nd"
"MW";0,36;0,333333333333333;1,522;1,585;"2nd"
"MX";0,0433059020243794;0,0625;4,753;4;"2nd"
"MY";0,0812467143480224;0,1;4,39;3,322;"2nd"
"NC";0,140625;0,111111111111111;2,983;3,17;"2nd"
"NE";0,183431952662722;0,142857142857143;2,603;2,807;"2nd"
"NF";1;1;0;0;"2nd"
"NG";0,364964219194197;0,125;2,595;3;"2nd"
"NI";0,1171875;0,0909090909090909;3,281;3,459;"2nd"
"NL";0,0358408500082697;0,0714285714285714;4,931;3,807;"2nd"
"NO";0,050993165985633;0,0625;4,669;4;"2nd"
"NP";0,135802469135802;0,125;2,948;3;"2nd"
"NR";0,306122448979592;0,25;1,842;2;"2nd"
"NU";1;1;0;0;"2nd"
"NZ";0,0513370672165167;0,0833333333333333;4,648;3,585;"2nd"
"OA";0,333333333333333;0,333333333333333;1,585;1,585;"2nd"
"OM";0,335;0,142857142857143;2,219;2,807;"2nd"
"PA";0,0573979591836735;0,0769230769230769;4,431;3,7;"2nd"
"PE";0,0513381823317562;0,0666666666666667;4,54;3,907;"2nd"
"PF";0,125;0,125;3;3;"2nd"
"PG";0,12;0,111111111111111;3,122;3,17;"2nd"
"PH";0,109361152037573;0,0909090909090909;4,084;3,459;"2nd"
"PK";0,0552551903114187;0,0666666666666667;4,439;3,907;"2nd"
"PL";0,0493496756988023;0,0666666666666667;4,63;3,907;"2nd"
"PN";1;1;0;0;"2nd"
"PR";0,0622403047091413;0,0714285714285714;4,438;3,807;"2nd"
"PT";0,049403392581771;0,0714285714285714;4,714;3,807;"2nd"
"PW";0,5;0,5;1;1;"2nd"
"PY";0,166666666666667;0,0909090909090909;3,079;3,459;"2nd"
"QA";0,12;0,1;3,19;3,322;"2nd"
"RE";0,25;0,25;2;2;"2nd"
"RO";0,0525676087928343;0,0666666666666667;4,533;3,907;"2nd"
"RS";0,28;0,25;1,922;2;"2nd"
"RU";0,0471260134941819;0,0588235294117647;4,646;4,087;"2nd"
"RW";0,333333333333333;0,333333333333333;1,585;1,585;"2nd"
"SA";0,0634478305785124;0,0769230769230769;4,397;3,7;"2nd"
"SB";1;1;0;0;"2nd"
"SC";0,226666666666667;0,125;2,556;3;"2nd"
"SD";0,44;0,333333333333333;1,371;1,585;"2nd"
"SE";0,0378233399079984;0,0526315789473684;4,883;4,248;"2nd"
"SF";0,5;0,5;1;1;"2nd"
"SG";0,106030499759299;0,111111111111111;4,095;3,17;"2nd"
"SH";0,183673469387755;0,166666666666667;2,522;2,585;"2nd"
"SI";0,046286083052236;0,0588235294117647;4,702;4,087;"2nd"
"SK";0,0515933284341659;0,0666666666666667;4,6;3,907;"2nd"
"SL";0,120562906952321;0,111111111111111;3,762;3,17;"2nd"
"SM";0,0707644628099174;0,0909090909090909;4,265;3,459;"2nd"
"SN";0,0858725761772853;0,0769230769230769;3,682;3,7;"2nd"
"SO";1;1;0;0;"2nd"
"SR";0,16;0,125;2,866;3;"2nd"
"ST";0,0763084797603071;0,0666666666666667;4,105;3,907;"2nd"
"SU";0,0526239790573293;0,0588235294117647;4,52;4,087;"2nd"
"SV";0,063552;0,0666666666666667;4,373;3,907;"2nd"
"SY";0,0639152666179693;0,0714285714285714;4,154;3,807;"2nd"
"SZ";0,21875;0,166666666666667;2,406;2,585;"2nd"
"TC";0,199546485260771;0,125;2,842;3;"2nd"
"TD";0,5;0,5;1;1;"2nd"
"TG";0,25;0,25;2;2;"2nd"
"TH";0,0374904634364094;0,0588235294117647;4,885;4,087;"2nd"
"TJ";0,0614518146842346;0,0714285714285714;4,329;3,807;"2nd"
"TK";0,222222222222222;0,2;2,252;2,322;"2nd"
"TM";0,0575592014071503;0,0666666666666667;4,45;3,907;"2nd"
"TN";0,0745849609375;0,0909090909090909;4,232;3,459;"2nd"
"TO";0,15625;0,142857142857143;2,75;2,807;"2nd"
"TR";0,0377751557973084;0,0666666666666667;4,851;3,907;"2nd"
"TT";0,0853994490358127;0,0833333333333333;3,703;3,585;"2nd"
"TV";0,611111111111111;0,333333333333333;1,105;1,585;"2nd"
"TW";0,0655545809625479;0,111111111111111;4,493;3,17;"2nd"
"TZ";0,277777777777778;0,25;1,918;2;"2nd"
"U ";0,2;0,2;2,322;2,322;"2nd"
"UA";0,0506346769079837;0,0666666666666667;4,575;3,907;"2nd"
"UG";0,0784;0,0714285714285714;3,844;3,807;"2nd"
"UK";0,26530612244898;0,25;1,95;2;"2nd"
"UN";0,5;0,5;1;1;"2nd"
"US";0,0379385429806396;0,0625;4,912;4;"2nd"
"UY";0,0550297265160523;0,0769230769230769;4,481;3,7;"2nd"
"UZ";0,0627875577265417;0,0769230769230769;4,375;3,7;"2nd"
"VA";0,168975069252078;0,166666666666667;2,809;2,585;"2nd"
"VC";0,333333333333333;0,333333333333333;1,585;1,585;"2nd"
"VE";0,106929146916156;0,125;3,949;3;"2nd"
"VG";0,064398308342945;0,1;4,417;3,322;"2nd"
"VI";0,259259259259259;0,166666666666667;2,281;2,585;"2nd"
"VN";0,0572390572390572;0,0714285714285714;4,495;3,807;"2nd"
"VU";0,183673469387755;0,166666666666667;2,522;2,585;"2nd"
"WO";0,185185185185185;0,166666666666667;2,503;2,585;"2nd"
"WS";0,26530612244898;0,25;1,95;2;"2nd"
"WV";0,254437869822485;0,25;1,988;2;"2nd"
"YD";1;1;0;0;"2nd"
"YE";0,111111111111111;0,111111111111111;3,17;3,17;"2nd"
"YU";0,0660224629568838;0,0714285714285714;4,4;3,807;"2nd"
"ZA";0,0527275239541372;0,0666666666666667;4,59;3,907;"2nd"
"ZM";1;1;0;0;"2nd"
"ZR";0,36;0,333333333333333;1,522;1,585;"2nd"
"ZW";0,120293847566575;0,0833333333333333;3,467;3,585;"2nd"
