"";"MORc(Surrounding_1st, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AD";98,2843537186845;98,2843537186845;1;81;2,88888888888889
"AG";0;0;1;40;2,425
"AM";0;0;1;40;2,425
"AR";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"AT";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"AU";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"BA";41,1915657567668;41,1915657567668;3;43,3333333333333;2,73425925925926
"BB";12,645171775808;12,645171775808;2;24,5;2,65694444444444
"BE";99,0324526213113;99,0324526213113;5;49,6;3,23672443294919
"BG";65,2105251435823;65,2105251435823;3;60,3333333333333;2,78675205055802
"BI";0;0;1;40;2,425
"BM";64,7298358103471;64,7298358103471;3;65;2,73976476476476
"BO";0;0;1;40;2,425
"BR";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"BS";66,0035918123582;66,0035918123582;3;62,6666666666667;2,78124654505252
"BU";98,2843537186845;98,2843537186845;1;81;2,88888888888889
"CA";97,6984596343259;97,6984596343259;4;59,75;3,07368331896427
"CC";98,2843537186845;98,2843537186845;1;81;2,88888888888889
"CH";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"CL";99,8142773485499;99,8142773485499;4;43,5;3,31955418983514
"CM";99,7264217183901;99,7264217183901;1;67;3,02985074626866
"CN";64,7298358103471;64,7298358103471;3;65;2,73976476476476
"CO";97,8157877153735;97,8157877153735;2;70,5;2,96762807583703
"CR";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"CS";73,4789822873578;73,4789822873578;4;65,5;2,81228626014074
"CU";95,9051537123568;95,9051537123568;1;74;2,90540540540541
"CY";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"CZ";97,0947537155206;97,0947537155206;2;77,5;2,89714714714715
"DD";73,4789822873578;73,4789822873578;4;65,5;2,81228626014074
"DE";73,4789822873578;73,4789822873578;4;65,5;2,81228626014074
"DK";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"DO";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"DZ";47,9525768561784;47,9525768561784;2;57;2,6652027027027
"EC";97,8157877153735;97,8157877153735;2;70,5;2,96762807583703
"EG";96,3915315501144;96,3915315501144;2;45,5;3,18799682034976
"ES";97,6984596343259;97,6984596343259;4;59,75;3,07368331896427
"FI";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"FR";99,5710884296711;99,5710884296711;4;57,75;3,17825848236296
"GA";99,0053877185373;99,0053877185373;2;74;2,95936981757877
"GB";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"GC";0;0;1;40;2,425
"GL";97,5811315532782;97,5811315532782;2;49;3,1797385620915
"GR";97,0947537155206;97,0947537155206;2;77,5;2,89714714714715
"GT";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"HK";49,1421768593422;49,1421768593422;2;60,5;2,65694444444444
"HN";95,9051537123568;95,9051537123568;1;74;2,90540540540541
"HT";98,2843537186845;98,2843537186845;1;81;2,88888888888889
"HU";73,1273712046547;73,1273712046547;4;49,5;2,95771109674205
"ID";97,5811315532782;97,5811315532782;2;49;3,1797385620915
"IE";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"IL";99,5193106667648;99,5193106667648;3;54,6666666666667;3,22772772772773
"IN";73,4789822873578;73,4789822873578;4;65,5;2,81228626014074
"IQ";97,8157877153735;97,8157877153735;2;70,5;2,96762807583703
"IR";98,2962282749822;98,2962282749822;3;55;3,12977595681722
"IS";99,5710884296711;99,5710884296711;4;57,75;3,17825848236296
"IT";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"JM";99,0053877185373;99,0053877185373;2;74;2,95936981757877
"JO";95,9051537123568;95,9051537123568;1;74;2,90540540540541
"JP";56,6341693771853;56,6341693771853;4;18,75;3,16834150326797
"KE";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"KN";95,9051537123568;95,9051537123568;1;74;2,90540540540541
"KP";79,0894400926323;79,0894400926323;4;45,25;3,03844285461933
"KR";81,2052578068564;81,2052578068564;4;29;3,2843137254902
"KW";97,0947537155206;97,0947537155206;2;77,5;2,89714714714715
"KY";66,0035918123582;66,0035918123582;3;62,6666666666667;2,78124654505252
"LA";99,7264217183901;99,7264217183901;1;67;3,02985074626866
"LB";99,0053877185373;99,0053877185373;2;74;2,95936981757877
"LI";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"LR";95,9051537123568;95,9051537123568;1;74;2,90540540540541
"LU";99,0053877185373;99,0053877185373;2;74;2,95936981757877
"LY";47,9525768561784;47,9525768561784;2;57;2,6652027027027
"MA";65,2105251435823;65,2105251435823;3;60,3333333333333;2,78675205055802
"MC";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"ML";0;0;1;40;2,425
"MN";97,8157877153735;97,8157877153735;2;70,5;2,96762807583703
"MO";0;0;1;40;2,425
"MX";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"MY";98,2843537186845;98,2843537186845;1;81;2,88888888888889
"NG";99,0053877185373;99,0053877185373;2;74;2,95936981757877
"NL";100;100;3;50;3,27471501352098
"NO";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"NZ";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"PA";97,6984596343259;97,6984596343259;4;59,75;3,07368331896427
"PE";97,0947537155206;97,0947537155206;2;77,5;2,89714714714715
"PH";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"PK";12,645171775808;12,645171775808;2;24,5;2,65694444444444
"PL";66,0035918123582;66,0035918123582;3;62,6666666666667;2,78124654505252
"PR";65,0540877021855;65,0540877021855;3;46;2,92815904139434
"PT";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"PY";97,0947537155206;97,0947537155206;2;77,5;2,89714714714715
"RO";73,4789822873578;73,4789822873578;4;65,5;2,81228626014074
"RU";65,2105251435823;65,2105251435823;3;60,3333333333333;2,78675205055802
"SA";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"SC";80,0447570941407;80,0447570941407;4;43,5;3,06955418983514
"SE";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"SG";64,7298358103471;64,7298358103471;3;65;2,73976476476476
"SM";62,5083826350031;62,5083826350031;2;38;2,95936981757877
"ST";73,4789822873578;73,4789822873578;4;65,5;2,81228626014074
"SU";47,9525768561784;47,9525768561784;2;57;2,6652027027027
"SV";73,4789822873578;73,4789822873578;4;65,5;2,81228626014074
"SY";0;0;1;40;2,425
"TD";0;0;1;40;2,425
"TH";97,0224722729711;97,0224722729711;3;57,3333333333333;3,08829417652947
"TN";0;0;1;40;2,425
"TP";25,2903435516161;25,2903435516161;1;9;2,88888888888889
"TR";97,0224722729711;97,0224722729711;3;57,3333333333333;3,08829417652947
"TT";0;0;1;40;2,425
"TW";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"UG";0;0;1;40;2,425
"UK";97,0947537155206;97,0947537155206;2;77,5;2,89714714714715
"US";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"UY";99,5710884296711;99,5710884296711;4;57,75;3,17825848236296
"VA";99,0053877185373;99,0053877185373;2;74;2,95936981757877
"VE";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"VG";98,2843537186845;98,2843537186845;1;81;2,88888888888889
"VN";0;0;1;40;2,425
"YU";64,7298358103471;64,7298358103471;3;65;2,73976476476476
"ZA";97,9719763831438;97,9719763831438;3;74;2,94138168018765
"ZW";99,0053877185373;99,0053877185373;2;74;2,95936981757877
