"";"MORt(mat_1st)";"Step0";"Step1";"Step2";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"10";67,0155816368264;128034;5907815,04062983;477211,627926011;92,2345974790314;61;26,327868852459;43,93396948221
"10.5";0;2344;1675723,25;441377,611553344;99,1171482000487;26;40,1153846153846;40,7840529265567
"11";60,9871939714058;12656;5408330,91679836;474926,171287316;94,9159267746745;36;34,2222222222222;40,7998605237589
"12";37,9213014397993;10537;3703102,44794534;463657,367126827;94,8210154757221;35;30,2285714285714;41,4265323518099
"13";70,0447099860971;78731;6124604,76389224;478254,82897698;93,0915176372966;24;32,6666666666667;39,7817027791626
"14";41,7398092583521;9976;4148110,74368484;462119,167752279;94,8169706874836;36;33,8333333333333;42,149812641647
"15";23,6216873382149;9239;3003810,3165927;455464,894902278;98,3076530045727;39;33,5384615384615;42,2171205180917
"16";76,1386178263946;14706;6675775,5130559;478288,719466081;94,7866266168884;22;35,2272727272727;39,9437332664471
"17";59,4928002669099;36278;5501786,88147086;469194,79213827;96,6564963652962;37;33,4864864864865;41,316882383247
"18.1";95,3745597509534;80256;7994228,63753489;488000,471544078;81,3793483001282;12;20,5833333333333;39,0569735662447
"19";46,118864261087;52606;4338531,02353344;468121,913052485;96,4129577508372;37;30,6756756756757;41,4873102357778
"20.1";67,8681804334741;1148552;5950565,81882405;478082,55772089;84,5122884130177;79;19,4810126582278;47,0076143058759
"20.2";50,5099142366166;98396;4875496,76868978;469875,200405358;89,0165071585252;39;27,0769230769231;43,656467862103
"20.3";81,7928372868442;114246;6982785,20736831;483198,033685662;86,0581109053235;16;27,75;39,6072229450741
"20.4";57,0123584932034;65850;5170559,45624905;472774,524742906;92,8537098623267;44;29,1363636363636;42,4987970177172
"20.42";67,6449294626774;34965;5962950,88774489;476835,320752416;91,756255779165;27;28,2962962962963;42,3666785270961
"20.5";69,431213222316;127073;6027527,30207046;478891,238189573;93,7242940345768;31;28,8709677419355;41,7198274639727
"20.51";19,6881521370297;16776;2540583,83994993;453128,579794364;96,0374884258544;44;32,9545454545455;41,4545586878404
"20.6";90,8967481630941;38112;7580229,00013119;488027,333514912;89,8734025026789;12;33,0833333333333;36,7701864743598
"21";50,9121332930384;531431;4822113,90652596;470475,448461909;84,6167753583111;76;22,3157894736842;46,6194337696344
"22";76,1997694970453;223034;6615744,44528189;479709,120680977;91,0038785895696;38;26,0263157894737;42,653289072124
"22.1";61,0892874698031;3653;5393580,28825623;475731,740704102;96,7006142727394;18;37,3888888888889;39,6140489912889
"22.2";88,0539024697184;38437;7466446,17030465;485408,887809603;84,039649558358;8;31,25;36,8165604941036
"23";89,7073086156183;122334;7575384,20884627;485713,251620606;84,8344119948118;13;19,8461538461538;41,7518624409066
"23.1";74,2168841541961;67330;6364930,23634338;479877,944349319;95,3617527577285;25;32,52;40,3065645083695
"23.3";76,6993467784979;36009;6686813,49362659;479340,688757511;96,5025933534757;35;34,0857142857143;40,8143030696926
"23.42";63,1899600231015;8503;5806359,08820416;471506,53862448;99,0234607509299;28;36,0714285714286;41,5127534244257
"23.5";83,902127164046;143497;7099124,52193426;484248,010218828;90,2329721179423;25;25,28;40,7341933773116
"24";85,533743625135;344998;7202037,71829982;484071,592296689;87,2072693635037;43;22,8604651162791;41,8688537700698
"24.46";54,6329480158779;740;4882010,72972973;474792,150989581;98,0652807740618;13;41,0769230769231;39,6011378743348
"25.1";67,6386254014202;38523;5975001,26295979;474602,752029637;96,807230483577;39;34;41,3818590251235
"25.2";65,4495283614254;31097;5883466,15744284;475089,324574008;96,8382461032701;35;34,4;41,4345919646662
"25.3";89,0136027852262;57211;7514817,12857667;485636,298791426;80,8758643442477;4;27,75;35,5507092198582
"25.4";16,0262227864558;21639;2307019,21655344;451404,73442379;95,0638315293235;42;31,6428571428571;41,4002159854814
"25.5";87,4043663931244;33385;7363093,35695672;485028,631745156;89,138798703532;11;33,9090909090909;37,3495195514993
"25.6";85,8822370101473;45525;7229374,60604064;485134,387812023;88,3846370098815;20;27,7;36,8720524491296
"25.7";37,0524318212715;61822;4003838,16676911;458726,341011631;91,3160001549941;42;32,2857142857143;41,6106981851613
"25.9";34,8362319931512;31432;3827773,29749936;457791,201080339;97,6755674426446;38;33,5263157894737;42,3901975559768
"25.94";22,1716273994812;6211;2919704,06182579;452236,263499344;98,8365747829556;31;36,3548387096774;41,5538091470076
"26.1";96,4054548232443;900481;8028505,99397989;489216,738058109;42,8447916169829;6;15,1666666666667;33,3769940787182
"26.11";70,6994789836034;405;6179342,3382716;478180,425358903;99,6906773309325;6;43,5;40,0514266386516
"26.2";96,1126406295894;418063;8006162,36066335;489026,326379592;4,7360089333445;10;9,8;37,9486996336996
"26.3";90,1619670326671;714852;7587573,75435615;486199,865432642;39,6862367457274;12;13,5833333333333;32,3096795314187
"26.4";84,0681587690754;104699;7107879,56428428;484237,425303742;87,1143965706247;13;24,2307692307692;40,7210372257807
"26.5";75,2708824653481;588581;6485747,69295475;479985,832436784;87,3463545371413;41;21,3658536585366;44,3793343870011
"26.51";79,8445197616845;167806;6797783,33079866;482083,488151449;88,1065313708049;27;23,962962962963;42,288683810425
"26.52";90,028740818183;35945;7608233,85616915;485390,944292592;84,2247650917811;8;27;37,8353465150251
"26.6";66,571181434189;34313;5841060,72197126;476222,468973364;98,0221011885635;28;34,5714285714286;41,5829340650947
"26.7";91,9651350664044;279138;7735033,33882166;486767,954679546;76,7990779749655;5;19,8;34,4474977895668
"26.8";94,9003864091386;66368;7935251,73475169;488584,971575593;73,8183331027778;3;25;29,6188034188034
"27.1";87,6593869403045;136340;7382237,21052516;485560,616205312;86,7941624844625;19;26,2631578947368;40,0068570043022
"27.12";83,6440739762255;49969;7133687,60781685;483263,61227518;83,3172359514513;9;24,6666666666667;38,3130946231588
"27.2";91,0484112083898;86576;7643581,77938459;486605,223313542;85,5147227925304;13;23,1538461538462;38,5588214173095
"27.3";92,998979923837;110947;7807505,86447583;487472,756134624;77,173648701325;6;19,1666666666667;36,7707087598392
"27.33";67,6571972230129;183800;5981317,96381937;475963,048202056;90,2144360203717;31;30;41,0768658279448
"27.4";60,2605526803904;27521;5476005,98128702;472139,345144245;99,5782882367908;28;38,0357142857143;41,3321823907476
"27.5";73,310603192868;257366;6439565,04214232;477526,896081072;94,770705343471;51;26,0980392156863;44,0060487822075
"27.9";81,0410682952115;142039;6909967,17153035;482686,918605314;80,0311539161116;17;25,1176470588235;37,9449610268664
"28.1";68,2427962379867;425765;6036720,95584419;476066,122578483;90,4437609180866;72;24,2916666666667;44,6967445578676
"28.11";69,0618319315974;58000;6079151,49596552;476732,914722266;97,0532105582388;19;34,5263157894737;41,9570579078571
"28.14";51,0765569370621;11776;4962044,72367527;464701,736099218;100;30;37,3666666666667;41,4830779793953
"28.21";71,8705733972786;39119;6276743,57105243;477411,791284631;97,0314297710169;32;34,21875;41,1102344794543
"28.22";73,1322935130289;64413;6429281,15141353;477305,275723489;97,3794586949259;30;31,6;42,8449995705954
"28.23";99,9391660355645;846188;8304845,47777917;490408,754344265;0;10;8,6;35,7751282051282
"28.25";82,2023798867816;106188;7092343,72682412;481563,398882178;92,3758363081786;25;25,64;41,4657193440558
"28.29";70,939531365583;506231;6239049,85005462;477208,94280762;94,6523128920065;52;26,3269230769231;44,4760613267323
"28.3";55,5630320099643;144045;5235434,00795585;469210,326331705;93,3603311895145;56;29,8928571428571;42,8675621063472
"28.4";73,7554514851676;440303;6382288,32447655;479251,849293984;93,9295174535881;41;24,6341463414634;43,7401516726115
"28.9";71,6799149347642;735706;6277163,84845577;477682,641446211;92,1348284611142;72;24,0972222222222;45,815396262626
"28.92";39,8494985067487;21520;4017541,5991171;462603,457291672;97,2981776469378;37;35,2702702702703;41,0545906293217
"28.94";71,8461881975951;108026;6257399,8982282;479307,121366029;89,7075852773056;35;27,0571428571429;41,7193018930024
"28.95";23,6100298140957;7689;3213652,10313435;445931,960637422;98,1409664912108;27;37,1481481481481;40,5249815265935
"28.99";49,1867246497999;67264;4669296,63557029;468003,809373692;96,6340202045146;50;31,16;42,8317109775031
"29.1";70,7672472398754;476461;6256239,22377068;477094,031855699;91,0030847960647;39;23,6153846153846;43,9627007711682
"29.3";100;12407;8333060,57507859;490413,314691244;61,6720652316092;4;22;34,3761904761905
"30";54,7725264492137;114985;5099918,28806366;468498,814988474;92,2096745880417;60;25,9333333333333;44,2954172702863
"31";30,3936095704994;42334;3503547,83351443;455290,954911628;98,0609167043271;42;32,5714285714286;42,4542309356025
"32";51,141611531506;195695;4863592,85404328;466400,347769547;91,5941775006565;66;26,5454545454545;44,3627783145782
"32.5";54,0019438119935;257886;4991927,93881793;469612,183745166;92,1145284405234;75;26,3066666666667;44,5432502545645
"32.9";72,7221565673809;251737;6386899,57675272;476980,185673131;94,2727267898626;41;28;43,9998055536189
"42.2";51,0563127020491;9867;4948012,92652275;467177,231525287;98,616763279004;32;37,125;41,1771856239855
"42.91";73,4683351626616;22737;6483362,13673748;476722,190578476;95,9334685800221;32;33,625;41,2378751963218
"43";59,4475858725855;158674;5572633,28929755;470080,378566641;91,5195922019957;63;25,7142857142857;45,0337976236924
"62";98,7366836262611;18267;8210736,12306345;489735,658001045;62,8143779044722;2;29,5;24,7597701149425
