"ctry_code";"Period";"Actual_Share_coinciding";"Actual_Share_Round_AI";"Actual_Share_Round_general";"Actual_persistent_coinciding";"Actual_persistent_justGeneral";"Actual_persistent_justAI";"Actual_n_persistent_Round_AI";"Actual_n_AI_prev_coinciding";"Actual_n_coinciding_prev_AI";"Actual_n_AI_prev_gen";"Actual_n_persistent_core_fields";"Actual_n_persistent_NOT_core_fields";"Actual_n_persistent_coin_core_fields";"Actual_n_persistent_coin_NOT_core_fields";"Actual_AI_core_fields";"Actual_AI_not_core_fields";"Actual_persistent_General_all"
"CN";"1974-1978";0;0;0,314285714285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CN";"1979-1983";0;0;0,342857142857143;0;5;0;0;0;0;0;0;0;0;0;0;0;5
"CN";"1984-1988";0;0;0,571428571428571;0;10;0;0;0;0;0;0;0;0;0;0;0;10
"CN";"1989-1993";0,235294117647059;0,142857142857143;0,485714285714286;0;13;0;0;0;0;1;0;0;0;0;1;4;17
"CN";"1994-1998";0,1;0,142857142857143;0,285714285714286;1;8;1;3;1;0;1;1;2;0;1;2;3;10
"CN";"1999-2003";0,230769230769231;0,342857142857143;0,371428571428571;0;6;2;3;0;1;1;1;2;0;0;2;10;8
"CN";"2004-2008";0,875;0,571428571428571;0,457142857142857;3;1;3;8;0;2;0;1;7;0;3;2;18;12
"CN";"2009-2013";0,777777777777778;0,571428571428571;0,514285714285714;10;0;3;15;1;1;0;2;13;1;9;2;18;15
"CN";"2014-2018";0,611111111111111;0,428571428571429;0,514285714285714;10;3;2;12;0;0;0;2;10;2;8;3;12;17
"JP";"1974-1978";0,05;0,0285714285714286;0,571428571428571;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"JP";"1979-1983";0,111111111111111;0,0571428571428571;0,514285714285714;1;15;0;1;0;0;0;1;0;1;0;2;0;17
"JP";"1984-1988";0,625;0,485714285714286;0,457142857142857;1;6;0;2;1;0;0;2;0;1;0;3;14;16
"JP";"1989-1993";0,5;0,428571428571429;0,457142857142857;6;3;3;9;0;0;0;1;8;1;5;1;14;15
"JP";"1994-1998";0,555555555555556;0,428571428571429;0,514285714285714;6;4;0;8;0;2;0;0;8;0;6;1;14;14
"JP";"1999-2003";0,5;0,4;0,457142857142857;5;5;0;7;2;0;0;1;6;0;5;2;12;14
"JP";"2004-2008";0,6;0,485714285714286;0,428571428571429;4;3;2;7;1;0;1;1;6;1;3;1;16;12
"JP";"2009-2013";0,333333333333333;0,314285714285714;0,428571428571429;4;4;1;5;0;0;0;0;5;0;4;2;9;13
"JP";"2014-2018";0,733333333333333;0,542857142857143;0,428571428571429;4;3;1;6;0;1;0;0;6;0;4;1;18;14
"KR";"1974-1978";0;0;0,371428571428571;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"KR";"1979-1983";0;0;0,285714285714286;0;10;0;0;0;0;0;0;0;0;0;0;0;10
"KR";"1984-1988";0;0;0,457142857142857;0;8;0;0;0;0;0;0;0;0;0;0;0;8
"KR";"1989-1993";0,428571428571429;0,228571428571429;0,4;0;8;0;0;0;0;0;0;0;0;0;1;7;14
"KR";"1994-1998";0,5;0,285714285714286;0,285714285714286;2;0;1;4;1;0;1;0;4;0;2;0;10;7
"KR";"1999-2003";0,727272727272727;0,428571428571429;0,314285714285714;3;0;3;8;1;1;1;0;8;0;3;0;15;7
"KR";"2004-2008";0,5;0,342857142857143;0,4;3;2;4;8;0;1;0;0;8;0;3;1;11;10
"KR";"2009-2013";0,461538461538462;0,371428571428571;0,371428571428571;4;4;1;6;1;0;0;1;5;1;3;1;12;12
"KR";"2014-2018";0,785714285714286;0,485714285714286;0,4;5;0;4;11;0;2;1;1;10;1;4;1;16;10
"US";"1974-1978";0,0625;0,0285714285714286;0,457142857142857;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"US";"1979-1983";0;0,0285714285714286;0,485714285714286;0;15;0;0;0;0;0;0;0;0;0;1;0;16
"US";"1984-1988";0,166666666666667;0,228571428571429;0,514285714285714;0;14;1;1;0;0;0;1;0;0;0;1;7;17
"US";"1989-1993";0,352941176470588;0,342857142857143;0,485714285714286;3;11;4;7;0;0;0;1;6;0;3;3;9;16
"US";"1994-1998";0,5625;0,4;0,457142857142857;4;3;2;9;1;2;1;2;7;1;3;2;12;11
"US";"1999-2003";0,428571428571429;0,342857142857143;0,4;3;4;0;3;0;0;1;1;2;1;2;3;9;13
"US";"2004-2008";0,333333333333333;0,171428571428571;0,428571428571429;3;5;1;4;0;0;0;2;2;2;1;2;4;13
"US";"2009-2013";0,666666666666667;0,285714285714286;0,342857142857143;5;4;0;5;0;0;1;2;3;2;3;2;8;11
"US";"2014-2018";0,666666666666667;0,371428571428571;0,428571428571429;6;2;2;8;0;0;0;1;7;1;5;1;12;12
